id,word,translation,definition,partOfSpeech,frequency,examples,pronunciation
1,astride,cappelletti,Comparo acer blandior incidunt.,verb,404,,around
2,redraw,meanwhile,Quia carus et uxor thesis concido caterva creber.,adjective,273,,outside
3,physically,towards,Ciminatio totus administratio quasi aequus dolorem ad dicta.,noun,277,,consequently
4,upbeat,including,Tres temperantia clarus annus cuius adduco vomica triduana alienus.,verb,959,,defiantly
5,heavy,by,Vesica patruus dolorem callide ex utrimque ait clamo thermae.,adjective,583,,to
6,inwardly,soulful,Adhuc certe vulpes vinco taceo.,noun,314,,ack
7,oh,because,Totidem theatrum videlicet toties at venia.,noun,475,,sympathetically
8,ew,yet,Utrimque subiungo damno compono quidem.,verb,877,,loftily
9,whoa,yowza,Auctus suppono quod pel annus consectetur unus certe amicitia.,adjective,465,,cute
10,rapidly,obedience,Congregatio aperte accendo vulgivagus.,noun,534,,considering
